X	Y	Z
-0.88	0.21	0.06
-0.94	0.23	0.24
-0.64	0.20	0.61
-0.40	0.16	0.79
-0.06	0.13	0.99
0.06	0.10	1.07
0.13	0.07	0.99
-0.01	0.08	0.73
0.13	-0.05	0.54
0.29	-0.07	0.55
-0.10	-0.08	1.86
-0.67	-1.52	1.98
-0.25	-1.98	-1.28
1.31	-1.85	-1.90
-0.62	-1.37	-1.04
-1.44	-0.56	1.55
-0.08	0.45	1.59
-0.04	0.38	1.03
-0.01	0.20	0.94
0.08	0.12	0.99
0.08	0.07	1.00
0.09	0.07	0.94
0.08	0.08	0.89
0.06	0.02	0.72
0.06	-0.12	1.09
0.12	-0.32	0.87
-0.05	-0.48	0.84
0.15	-0.55	0.86
0.09	-0.55	0.96
0.05	-0.65	0.93
0.06	-0.64	0.69
0.09	-0.62	0.76
0.06	-0.60	0.94
0.03	-0.53	1.07
0.06	-0.44	1.17
-0.00	-0.36	1.01
-0.03	-0.09	0.72
-0.03	0.13	0.62
-0.08	0.22	0.43
-0.09	0.11	0.39
0.31	-0.13	0.35
-0.20	-0.20	1.69
-0.84	-1.80	1.97
-0.53	-1.98	-0.82
1.31	-1.99	-1.84
-0.58	-1.26	-1.39
-1.31	-0.80	1.38
-0.08	0.24	1.95
0.02	0.35	1.09
-0.00	0.14	0.94
0.05	0.09	0.91
0.05	0.08	0.98
0.03	0.09	1.01
0.04	0.14	0.92
0.04	0.15	0.91
0.06	0.16	1.01
0.12	0.15	0.97
0.19	0.15	0.95
0.30	0.14	0.93
0.49	0.14	0.85
0.72	0.15	0.66
0.80	0.13	0.57
0.84	0.15	0.53
0.82	0.18	0.46
0.77	0.19	0.49
0.71	0.19	0.52
0.51	0.11	0.89
0.37	0.14	0.85
0.18	0.14	0.90
0.16	0.15	0.97
0.18	0.15	0.97
0.13	0.13	0.91
0.20	0.09	0.95
0.14	0.04	0.94
0.10	-0.08	0.63
0.00	-0.38	0.72
0.18	-0.49	0.99
0.07	-0.59	1.00
0.13	-0.65	0.85
0.07	-0.67	0.80
0.12	-0.63	0.87
0.06	-0.61	0.94
0.06	-0.49	0.81
0.12	-0.42	1.14
0.06	-0.24	0.96
0.02	-0.06	0.72
0.05	0.05	0.75
0.08	0.08	0.89
0.07	0.09	0.98
0.09	0.08	0.92
-0.07	0.03	0.98
-0.24	0.01	0.92
-0.70	0.05	0.70
-0.79	0.07	0.47
-0.89	0.06	0.39
-0.90	0.09	0.30
-0.92	0.09	0.26
-0.91	0.10	0.26
-0.78	0.09	0.29
-0.81	0.11	0.43
-0.61	0.11	0.50
-0.27	0.00	0.94
-0.06	-0.04	1.15
0.05	-0.04	1.03
0.06	-0.04	0.85
0.14	-0.08	0.67
0.16	-0.15	0.35
0.09	-0.01	1.15
0.95	-1.16	1.89
-1.21	-1.96	0.43
0.23	-2.00	-1.69
-0.20	-1.65	-1.97
-1.23	-1.75	1.06
-0.00	-0.11	1.93
-0.11	0.43	0.96
-0.11	0.14	0.68
-0.06	0.07	0.95
-0.03	0.04	1.05
0.11	-0.01	1.00
-0.00	-0.01	0.92
0.04	0.04	0.97
0.00	0.07	1.07
-0.02	0.06	1.03
-0.00	0.05	0.97
-0.00	0.05	0.94
0.02	0.04	1.00
0.11	0.03	0.99
0.21	-0.00	0.95
0.44	-0.04	0.87
0.77	-0.04	0.76
0.83	0.01	0.49
0.78	0.05	0.48
0.89	0.04	0.43
0.85	0.05	0.45
0.85	0.05	0.44
0.78	0.06	0.55
0.60	0.06	0.70
0.53	0.02	0.90
0.32	0.11	0.95
0.12	0.15	0.94
0.02	0.16	0.93
0.06	0.15	0.96
0.07	0.10	0.89
0.09	0.08	0.59
0.27	-0.19	0.76
-0.51	0.02	1.77
-0.99	-1.44	1.98
-0.73	-1.94	-0.72
1.43	-1.97	-1.91
-0.38	-1.83	-1.33
-0.75	-0.95	1.69
-0.16	0.18	1.87
-0.03	0.22	1.15
-0.07	0.03	0.99
-0.04	0.00	0.93
-0.01	0.03	1.00
-0.02	0.02	0.94
-0.02	0.02	0.96
-0.02	0.05	0.96
0.00	0.04	1.02
0.01	0.02	1.01
0.04	-0.02	0.91
-0.04	-0.07	0.77
0.06	-0.31	0.88
-0.07	-0.46	0.92
-0.17	-0.53	0.94
0.11	-0.56	0.95
0.05	-0.58	0.96
-0.06	-0.53	0.87
-0.02	-0.54	0.73
0.00	-0.55	0.88
-0.05	-0.52	1.08
-0.11	-0.39	1.20
-0.06	-0.29	0.98
-0.05	-0.01	0.72
-0.04	0.14	0.73
-0.05	0.25	0.65
-0.02	0.24	0.97
-0.01	0.26	1.00
-0.01	0.28	1.01
-0.04	0.26	0.92
0.05	0.18	0.69
0.22	0.09	0.40
-0.57	0.20	1.74
-0.85	-1.23	1.96
0.18	-1.96	-1.41
1.09	-1.71	-1.92
-1.13	-1.56	0.84
-0.07	-0.20	1.85
-0.12	0.44	0.91
-0.14	0.16	0.63
0.04	0.08	0.98
0.04	0.09	1.13
0.03	0.09	1.02
0.04	0.08	0.96
0.02	0.12	0.95
0.02	0.13	0.99
0.03	0.13	0.99
0.04	0.14	0.98
0.15	0.13	1.01
0.26	0.12	0.95
0.41	0.14	0.89
0.63	0.14	0.73
0.83	0.10	0.59
0.83	0.13	0.44
0.82	0.13	0.44
0.86	0.12	0.45
0.80	0.12	0.52
0.66	0.06	0.90
0.43	0.08	1.02
0.17	0.18	0.94
0.12	0.19	0.95
0.12	0.18	0.94
0.09	0.16	0.97
0.05	0.14	0.86
0.01	0.05	0.74
-0.03	-0.19	0.96
-0.02	-0.44	0.89
0.01	-0.53	1.08
-0.04	-0.51	0.84
0.08	-0.53	0.99
0.02	-0.57	1.10
-0.02	-0.53	0.82
0.06	-0.44	0.93
-0.09	-0.37	1.19
-0.12	-0.19	0.89
-0.01	-0.04	0.78
0.03	0.12	0.79
0.02	0.18	0.80
0.09	0.17	0.97
0.07	0.18	1.03
-0.05	0.16	0.98
-0.00	0.12	1.03
-0.32	0.16	0.82
-0.76	0.20	0.48
-0.81	0.19	0.41
-0.87	0.20	0.36
-0.85	0.22	0.25
-0.88	0.23	0.17
-0.99	0.25	0.18
-0.85	0.23	0.33
-0.65	0.23	0.44
-0.60	0.21	0.65
-0.24	0.16	1.00
-0.04	0.14	0.96
0.02	0.09	0.96
0.01	0.00	0.59
0.37	-0.10	0.27
0.10	0.07	1.55
-0.57	-0.58	1.94
-1.16	-1.90	-0.02
0.90	-2.00	-1.74
-0.33	-1.97	-1.86
-1.63	-1.67	1.27
0.13	-0.41	1.90
-0.08	0.34	0.97
-0.16	0.11	0.78
-0.15	0.02	0.92
-0.08	0.01	1.12
-0.05	0.02	1.11
0.02	0.01	0.97
0.03	0.06	0.90
-0.01	0.09	0.88
-0.05	0.11	0.95
-0.05	0.08	1.03
0.01	0.08	0.99
-0.02	0.09	1.02
-0.07	0.13	0.93
