X	Y	Z
-1.57	-2.52	-3.11
-1.37	-1.17	6.78
0.33	0.28	2.50
-0.02	0.27	0.37
-0.04	0.03	0.64
0.02	0.02	1.28
-0.04	0.05	1.42
-0.31	0.21	0.33
-0.59	0.49	-0.22
-1.05	0.55	0.01
-1.07	0.51	0.10
-0.85	0.57	-0.30
-0.48	0.44	-0.08
-0.42	0.19	1.00
0.01	0.24	1.06
-0.04	0.23	0.84
0.06	0.16	1.12
-0.02	0.11	1.11
-0.05	-0.03	1.76
0.08	0.12	0.86
-0.07	0.64	0.14
-0.14	0.80	0.18
-0.26	0.90	0.24
-0.18	1.00	0.28
-0.20	1.07	0.06
-0.28	0.62	-0.11
0.06	0.13	0.87
-0.02	-0.01	1.50
-0.03	0.10	1.16
-0.01	0.22	1.15
-0.07	0.22	0.57
0.02	0.20	-0.31
-0.58	-0.99	3.73
-0.32	-2.38	5.80
-1.49	-3.68	-1.08
-0.40	-2.93	-5.70
-2.20	-2.72	-1.34
-1.25	-1.27	6.70
0.18	0.32	1.99
0.07	0.14	0.61
0.02	-0.08	0.75
0.04	-0.08	1.16
-0.06	-0.06	1.47
-0.32	0.12	0.42
-0.77	0.43	0.22
-0.81	0.44	0.20
-0.96	0.45	0.06
-0.88	0.48	0.11
-0.83	0.49	-0.08
-0.55	0.31	0.20
-0.28	0.10	1.15
0.07	0.15	1.01
0.01	0.11	0.98
0.07	0.10	1.03
0.05	0.15	1.04
-0.09	0.13	1.12
-0.11	0.04	1.43
0.32	0.18	0.91
-0.04	0.67	0.30
-0.19	0.85	0.30
-0.09	0.94	0.35
-0.21	0.92	0.22
-0.12	0.93	0.29
-0.04	0.91	0.06
0.04	0.76	-0.21
-0.44	-0.14	0.68
0.32	-0.36	1.69
0.07	-0.19	1.56
-0.05	0.01	0.75
0.07	0.02	0.83
0.01	0.13	0.12
-0.98	-0.49	2.18
-1.41	-2.66	6.03
-1.64	-3.69	-0.06
0.88	-2.97	-6.17
-1.64	-2.88	-2.38
-2.08	-1.26	7.13
-0.26	0.19	2.42
-0.03	0.25	0.06
-0.15	0.01	0.57
0.01	-0.02	1.12
-0.16	0.04	1.40
-0.30	0.18	0.74
-0.78	0.42	-0.12
-0.97	0.44	0.26
-0.75	0.49	-0.36
-1.03	0.44	-0.02
-0.83	0.46	-0.23
-0.85	0.45	-0.08
-0.45	0.27	0.28
-0.29	0.19	1.24
-0.00	0.23	0.85
0.08	0.18	1.07
0.08	0.16	1.00
0.06	0.14	0.96
-0.01	0.06	1.06
0.03	0.03	1.16
-0.15	0.13	1.03
-0.21	0.26	0.93
-0.12	0.35	1.07
-0.06	0.47	0.97
-0.09	0.68	0.43
-0.18	0.89	0.09
-0.16	0.95	0.14
-0.19	0.94	0.23
-0.08	0.98	0.27
-0.15	1.00	-0.06
-0.14	0.80	0.05
-0.08	0.36	0.71
-0.19	0.07	1.05
0.21	0.13	1.11
-0.18	0.03	1.24
0.06	0.02	1.22
0.01	0.07	0.86
0.02	0.18	-0.13
-0.58	-0.46	1.70
-0.37	-2.13	6.97
-2.14	-4.56	1.72
-0.90	-3.95	-5.99
-1.52	-3.01	-3.46
-1.90	-2.04	6.78
-0.22	0.20	2.64
-0.16	0.45	-0.00
-0.05	0.00	0.57
0.08	-0.07	1.27
-0.05	0.12	1.03
-0.04	0.11	1.26
-0.26	0.14	0.86
-0.70	0.27	0.73
-0.76	0.35	0.05
-0.79	0.43	0.05
-1.00	0.46	-0.02
-0.91	0.44	0.04
-0.84	0.43	0.11
-0.55	0.33	0.49
-0.26	0.27	0.63
0.13	0.15	1.29
0.20	0.11	0.94
0.12	0.06	1.07
-0.00	-0.00	0.98
0.06	-0.11	1.29
-0.06	-0.06	1.20
-0.26	0.03	1.22
-0.32	0.26	0.63
0.08	0.58	0.78
-0.05	0.79	0.12
-0.15	0.83	0.06
-0.32	1.00	0.09
-0.16	1.05	0.23
-0.06	0.93	-0.26
-0.10	0.44	0.11
-0.03	-0.05	1.12
-0.03	-0.14	1.37
0.02	-0.08	1.23
0.10	-0.02	1.22
0.02	0.19	0.39
-0.17	0.15	-0.08
-1.21	-2.91	6.96
-1.66	-3.95	1.92
-0.58	-3.66	-5.73
-0.68	-2.63	-4.75
-2.27	-2.45	6.36
-0.14	0.14	2.72
0.00	0.52	0.08
-0.12	0.16	0.57
-0.15	0.18	1.15
-0.22	0.36	1.12
0.17	0.22	0.98
-0.01	0.21	0.81
-0.08	0.32	0.90
-0.04	0.26	0.98
-0.04	0.29	0.96
-0.07	0.30	0.94
