X	Y	Z
0.02	0.15	0.99
0.03	0.17	1.05
0.05	0.20	1.03
-0.03	0.22	0.95
-0.08	0.21	0.97
-0.22	0.20	0.34
-0.08	0.05	-0.51
-0.05	-0.82	4.04
0.07	-1.55	5.45
-1.14	-3.05	-0.30
-0.37	-2.15	-4.78
-1.39	-1.23	-1.15
-0.48	-0.52	5.18
0.07	0.29	2.15
-0.01	0.17	0.59
0.00	0.02	0.86
-0.06	0.11	1.12
-0.04	0.12	1.13
-0.59	0.30	0.26
-0.76	0.41	0.09
-1.05	0.45	-0.18
-1.07	0.51	-0.19
-0.59	0.48	-0.21
-0.36	0.17	0.74
-0.14	0.20	1.28
0.04	0.24	0.82
0.04	0.20	0.96
-0.06	0.16	1.17
-0.09	0.13	1.36
-0.03	0.20	1.09
0.05	0.64	0.20
-0.14	0.79	0.24
-0.23	0.87	0.21
-0.17	0.97	0.39
-0.12	1.04	0.33
-0.23	0.75	0.14
0.01	0.14	0.54
-0.15	-0.11	1.28
-0.16	0.01	1.28
-0.16	0.09	1.25
-0.09	0.09	1.01
-0.07	0.11	0.24
-0.24	-0.15	0.87
-0.98	-2.04	6.61
-1.44	-3.07	0.83
-0.07	-2.96	-4.93
-0.94	-2.00	-3.38
-1.14	-0.93	6.02
-0.03	0.37	2.67
0.08	0.31	0.71
-0.12	0.07	0.62
0.01	0.08	1.00
-0.07	0.13	1.35
-0.15	0.14	0.75
-1.00	0.38	0.16
-0.78	0.37	0.11
-0.96	0.46	-0.06
-0.90	0.47	-0.04
-0.66	0.33	0.29
-0.29	0.22	1.04
-0.05	0.25	0.95
-0.08	0.21	0.94
0.01	0.19	1.07
-0.02	0.14	1.31
-0.11	0.05	1.44
-0.03	0.50	0.39
-0.23	0.78	0.13
-0.11	0.79	0.14
-0.30	0.91	0.07
-0.29	1.08	0.26
-0.20	0.96	0.17
-0.30	0.45	0.46
0.17	0.15	0.49
-0.03	-0.08	1.61
-0.10	0.07	1.04
0.03	0.17	0.93
-0.38	0.13	-0.32
-0.12	-0.82	2.86
-0.36	-1.77	6.42
-1.76	-3.93	1.45
-0.54	-3.37	-6.26
