X	Y	Z
0.04	0.15	0.97
-0.01	0.10	0.98
0.05	0.11	0.98
0.05	0.13	1.02
0.02	0.12	0.98
0.01	0.12	0.99
0.02	0.14	0.98
0.02	0.14	0.99
X	Y	Z
-0.05	0.20	0.96
-0.00	0.17	1.00
-0.10	0.20	0.93
-0.02	0.18	0.95
0.04	0.15	0.95
-0.05	0.18	0.96
-0.06	0.21	0.93
-0.01	0.19	1.00
-0.01	0.20	0.98
-0.01	0.20	0.96
-0.01	0.19	0.97
-0.02	0.18	0.99
-0.00	0.19	1.00
-0.00	0.18	0.98
-0.02	0.18	0.99
-0.01	0.17	0.98
-0.00	0.16	0.99
-0.01	0.17	0.95
-0.00	0.16	1.00
-0.00	0.17	1.01
-0.02	0.17	0.99
-0.00	0.16	0.92
-0.05	0.15	0.92
-0.05	0.14	0.95
