X	Y	Z
-1.89	-1.58	4.44
0.04	0.11	4.13
-0.10	0.27	0.57
-0.21	0.12	0.60
-0.06	0.10	0.86
-0.02	0.16	1.03
0.04	0.21	1.07
-0.03	0.26	1.01
-0.06	0.24	1.02
-0.09	0.20	0.74
-0.06	0.07	0.40
0.14	-0.30	0.92
0.09	-0.48	1.29
0.08	-0.48	1.15
0.03	-0.42	0.96
-0.05	-0.41	1.04
-0.04	-0.40	1.13
-0.02	-0.35	1.17
-0.03	-0.22	0.98
-0.05	0.01	0.51
-0.07	0.21	0.88
-0.04	0.21	0.90
-0.02	0.20	0.96
-0.03	0.17	1.08
-0.09	0.16	1.15
0.01	0.17	1.03
-0.18	0.50	0.59
-0.08	0.71	0.53
-0.13	0.72	0.61
-0.18	0.73	0.67
-0.16	0.79	0.76
-0.24	0.80	0.54
-0.11	0.60	0.50
0.07	0.29	0.58
-0.10	-0.08	1.23
0.12	-0.07	1.27
0.08	-0.04	1.08
0.05	-0.02	1.07
0.01	-0.01	0.96
-0.01	-0.01	0.92
0.01	-0.01	0.92
-0.08	0.02	0.62
0.13	-0.01	1.35
0.92	-1.28	6.01
-0.85	-1.99	1.99
-0.97	-2.95	-3.30
-0.34	-2.38	-4.77
-1.91	-1.30	4.20
-0.12	0.54	4.23
-0.16	0.42	0.57
0.12	0.04	0.79
0.06	0.05	0.97
0.02	0.17	1.02
-0.12	0.26	0.97
-0.14	0.28	0.91
-0.00	0.20	1.03
-0.05	0.21	1.00
-0.06	0.25	0.95
-0.04	0.24	0.98
-0.02	0.22	0.96
-0.03	0.22	0.97
-0.03	0.22	0.95
-0.04	0.21	0.96
-0.06	0.23	0.95
-0.04	0.23	0.94
