X	Y	Z
0.05	0.14	1.00
0.03	0.15	0.94
0.04	0.13	1.00
0.05	0.12	1.01
0.06	0.15	0.98
0.02	0.14	0.98
-0.01	0.12	1.03
-0.05	0.15	0.93
0.03	0.18	0.63
-0.16	0.13	0.23
0.08	-0.12	1.03
0.41	-0.70	5.03
-0.48	-1.85	3.81
-0.87	-2.35	-1.59
-0.14	-1.52	-4.49
-1.19	-1.21	-1.00
-0.52	-0.84	5.34
0.10	0.26	2.16
-0.18	0.19	0.86
-0.08	0.08	0.84
-0.01	0.14	0.88
-0.05	0.16	0.85
-0.06	0.18	0.81
-0.09	0.02	0.77
-0.03	-0.23	0.95
-0.01	-0.37	1.19
-0.02	-0.38	1.15
-0.12	-0.34	1.01
-0.07	-0.39	1.32
0.06	-0.41	1.32
-0.18	-0.09	0.63
-0.05	0.12	0.67
-0.05	0.12	0.90
-0.03	0.09	0.99
0.05	0.08	1.18
-0.04	0.12	1.07
-0.10	0.27	0.84
-0.01	0.46	0.70
-0.08	0.59	0.71
-0.07	0.70	0.74
-0.01	0.74	0.72
0.07	0.75	0.68
-0.03	0.69	0.27
-0.16	0.22	0.95
-0.05	0.10	0.95
-0.04	0.03	1.28
-0.10	0.06	1.01
-0.03	0.08	1.12
-0.07	0.11	1.03
-0.10	0.14	0.75
-0.28	0.18	-0.53
0.06	-0.51	3.08
0.25	-1.63	6.15
-1.13	-2.61	0.18
-0.67	-2.48	-4.37
-0.81	-1.61	-2.76
-1.19	-0.83	5.39
-0.01	0.60	2.92
-0.25	0.45	0.71
0.06	0.06	0.78
0.04	0.12	0.87
-0.04	0.21	1.03
-0.03	0.25	1.01
-0.01	0.23	0.96
-0.07	0.22	0.89
0.01	0.18	0.83
0.09	0.04	0.76
-0.10	-0.17	0.89
-0.07	-0.29	1.15
-0.12	-0.31	1.13
-0.12	-0.32	1.19
-0.12	-0.29	1.19
-0.07	-0.27	1.27
-0.06	-0.04	0.69
0.01	0.14	0.79
-0.04	0.23	0.83
-0.05	0.25	0.90
0.00	0.23	1.00
0.00	0.22	1.07
-0.02	0.21	1.27
-0.08	0.25	1.04
-0.15	0.53	0.38
0.05	0.75	0.54
-0.11	0.82	0.44
-0.10	0.86	0.60
-0.02	0.88	0.49
-0.16	0.82	0.21
-0.06	0.61	0.53
0.13	0.28	0.78
0.05	0.08	1.10
0.03	0.08	1.15
0.02	0.05	1.22
0.06	0.04	1.12
0.02	0.05	1.03
0.00	0.06	1.02
-0.01	0.07	0.91
-0.02	0.08	0.63
-0.07	0.19	0.37
0.10	-0.42	5.42
-0.63	-2.06	4.26
-1.10	-3.59	-1.77
0.19	-2.33	-5.13
-1.49	-1.58	-0.67
-0.81	-0.42	6.32
-0.33	0.47	1.61
-0.25	0.25	0.61
-0.08	0.09	0.78
-0.00	0.16	0.94
-0.06	0.23	1.02
-0.02	0.20	0.91
-0.05	0.10	0.75
0.01	-0.08	0.92
0.13	-0.23	0.88
0.09	-0.33	1.16
-0.04	-0.36	1.06
0.01	-0.39	1.08
-0.05	-0.39	1.23
-0.05	-0.34	1.04
-0.07	-0.27	1.25
-0.06	-0.08	0.80
-0.03	0.17	0.63
-0.06	0.26	0.77
-0.06	0.24	0.97
-0.05	0.22	0.96
-0.04	0.18	1.07
-0.01	0.21	1.15
-0.07	0.32	0.86
-0.03	0.53	0.81
-0.10	0.71	0.32
-0.04	0.78	0.75
-0.02	0.80	0.62
-0.05	0.82	0.62
-0.06	0.84	0.55
-0.04	0.79	0.33
-0.14	0.41	0.37
0.16	0.09	1.27
0.13	0.07	1.25
-0.07	0.11	1.07
-0.03	0.07	1.01
0.06	0.05	1.06
-0.01	0.07	0.98
-0.03	0.09	0.95
-0.02	0.10	0.96
-0.02	0.08	0.97
-0.04	0.09	0.79
-0.02	0.23	0.07
-0.70	-0.67	4.20
-0.45	-2.22	4.65
-0.87	-3.13	-1.82
0.00	-2.15	-5.08
-1.72	-1.62	-0.28
-0.53	-0.48	6.07
0.05	0.37	1.40
-0.30	0.33	0.67
-0.12	0.09	0.89
0.00	0.10	0.93
-0.01	0.18	1.02
-0.02	0.21	1.00
-0.10	0.21	0.87
-0.14	0.15	0.60
-0.05	-0.09	0.80
0.06	-0.32	1.16
-0.08	-0.44	1.19
-0.06	-0.37	1.07
-0.11	-0.33	1.14
-0.06	-0.38	1.28
-0.02	-0.30	1.21
-0.08	0.00	0.64
-0.03	0.20	0.65
-0.07	0.24	0.78
-0.00	0.21	0.94
-0.00	0.16	1.08
-0.00	0.14	1.11
-0.16	0.19	0.96
-0.12	0.39	0.78
-0.22	0.67	0.79
-0.14	0.77	0.60
-0.06	0.76	0.49
-0.16	0.79	0.57
-0.14	0.81	0.57
-0.12	0.83	0.60
-0.13	0.78	0.16
-0.01	0.22	0.65
0.09	-0.07	1.42
0.09	-0.10	1.13
0.01	-0.03	1.10
0.05	-0.05	1.08
0.00	-0.04	0.92
-0.01	-0.00	0.97
-0.07	-0.01	0.74
-0.15	-0.04	-0.02
-0.12	-0.50	2.13
0.13	-1.61	6.39
-1.39	-2.89	1.62
-0.83	-3.09	-4.35
-0.71	-1.80	-4.28
