X	Y	Z
0.12	0.16	0.97
0.09	0.17	0.95
0.12	0.17	1.10
0.04	0.19	0.87
-0.04	0.16	1.09
-0.09	0.15	0.82
-0.30	0.19	0.03
-0.10	-0.32	-0.44
-0.11	-0.64	3.89
-0.15	-1.57	6.13
-0.71	-2.97	0.65
-0.54	-2.42	-4.14
-0.84	-1.09	-3.05
-0.99	-0.92	3.83
0.05	0.23	3.98
-0.16	0.29	0.85
-0.06	0.07	0.59
-0.05	0.15	0.68
-0.07	0.15	0.72
0.04	-0.13	0.87
-0.21	-0.31	0.78
-0.17	-0.50	1.15
-0.05	-0.52	1.15
-0.02	-0.50	1.17
-0.15	-0.45	1.28
-0.17	-0.39	1.16
-0.09	-0.29	0.86
0.02	0.04	0.67
-0.03	0.28	0.56
-0.04	0.27	0.89
0.01	0.21	1.08
-0.03	0.23	0.99
-0.11	0.14	1.23
-0.49	0.26	0.23
-0.95	0.39	0.13
-1.01	0.36	0.19
-0.96	0.39	0.21
-1.00	0.43	0.21
-0.57	0.30	0.30
-0.40	0.24	1.00
-0.13	0.19	0.96
-0.06	0.17	1.08
-0.10	0.19	0.99
-0.05	0.17	1.00
-0.01	0.15	1.25
-0.02	0.24	0.83
-0.11	0.42	0.86
0.03	0.63	0.54
0.04	0.72	0.59
0.01	0.78	0.65
0.05	0.82	0.72
0.01	0.84	0.45
0.03	0.52	0.46
-0.07	0.08	0.70
-0.15	-0.14	1.34
-0.07	-0.07	1.28
-0.02	0.02	1.10
-0.02	0.04	1.07
-0.08	0.06	0.88
-0.10	0.07	0.59
-0.03	0.02	0.22
-0.19	-0.53	3.53
-0.33	-1.75	5.51
-1.24	-3.23	0.08
-0.25	-2.45	-4.97
-1.11	-1.14	-2.52
-1.18	-0.76	5.02
0.01	0.31	2.97
0.13	0.28	0.97
-0.15	0.13	0.65
-0.01	0.15	0.73
-0.01	0.18	1.00
-0.06	0.25	1.08
-0.00	0.28	0.99
-0.04	0.28	0.87
-0.03	0.23	0.77
-0.05	0.06	0.73
0.01	-0.14	0.93
-0.01	-0.26	1.12
-0.16	-0.34	1.08
-0.09	-0.37	1.25
-0.11	-0.36	1.32
-0.09	-0.29	1.21
-0.07	-0.05	0.71
-0.11	0.20	0.59
-0.08	0.22	0.85
-0.08	0.18	0.96
-0.06	0.17	1.01
-0.12	0.19	1.04
-0.16	0.19	1.11
-0.53	0.32	0.51
-0.69	0.44	0.22
-0.95	0.42	0.37
-0.89	0.45	0.22
-1.00	0.45	0.32
-0.67	0.43	0.19
-0.49	0.26	0.66
-0.35	0.21	1.04
-0.05	0.16	0.99
-0.01	0.13	1.05
-0.03	0.15	1.01
-0.05	0.16	1.02
-0.03	0.17	1.07
0.00	0.21	1.07
-0.10	0.38	0.83
0.10	0.53	0.73
0.12	0.76	0.45
0.01	0.79	0.63
0.06	0.82	0.66
0.02	0.88	0.39
-0.01	0.71	0.40
0.04	0.26	0.44
-0.04	-0.10	1.47
0.02	-0.09	1.21
-0.02	-0.00	0.96
-0.02	0.03	1.10
-0.07	0.07	0.98
-0.12	0.12	0.36
-0.15	-0.01	-0.24
-0.29	-1.46	5.43
-1.00	-2.09	4.29
-1.21	-2.74	-1.65
-0.04	-1.91	-4.81
-1.29	-1.26	-1.05
-0.99	-0.54	5.75
-0.02	0.37	2.11
-0.11	0.28	0.53
-0.01	0.03	0.62
-0.01	0.10	0.88
0.03	0.22	1.07
0.03	0.25	1.05
-0.01	0.25	0.92
0.01	0.21	0.97
0.01	0.19	0.93
-0.05	0.17	0.76
-0.07	0.03	0.74
-0.08	-0.22	0.83
-0.03	-0.45	1.26
-0.07	-0.41	1.17
-0.12	-0.34	1.08
-0.15	-0.36	1.28
-0.16	-0.32	1.25
-0.14	-0.06	0.65
-0.14	0.11	0.68
-0.12	0.15	0.86
-0.11	0.14	0.95
-0.03	0.14	1.01
-0.07	0.14	1.00
-0.11	0.13	1.07
-0.13	0.14	1.07
-0.47	0.25	0.58
-0.88	0.33	0.45
-0.82	0.35	0.33
-0.89	0.35	0.34
-0.96	0.38	0.35
-0.85	0.44	0.15
-0.64	0.33	0.36
-0.37	0.15	0.97
-0.19	0.10	1.01
0.03	0.09	1.07
-0.01	0.10	0.93
-0.01	0.10	1.01
-0.00	0.09	1.03
-0.05	0.06	1.13
-0.01	0.04	1.36
0.30	0.22	0.78
0.15	0.68	0.37
-0.08	0.75	0.48
-0.08	0.79	0.60
0.10	0.86	0.64
-0.05	0.88	0.35
-0.05	0.48	0.41
0.14	-0.17	0.95
0.23	-0.16	1.24
0.05	-0.04	1.33
0.03	-0.00	1.04
0.05	-0.02	1.01
0.00	0.01	0.88
-0.10	0.05	0.46
-0.03	-0.05	0.03
-0.20	-0.47	2.62
0.02	-1.74	6.08
-1.22	-3.38	2.17
-0.99	-3.04	-4.11
-0.58	-1.67	-4.36
-1.78	-1.60	2.12
-0.13	0.01	5.09
0.08	0.39	1.56
-0.24	0.16	0.65
0.07	0.04	0.63
-0.03	0.18	0.98
-0.01	0.23	1.21
-0.02	0.28	0.92
-0.03	0.23	0.81
-0.05	0.17	0.86
-0.08	0.09	0.59
-0.02	-0.22	0.79
0.04	-0.44	1.41
-0.26	-0.42	1.13
-0.04	-0.40	1.05
-0.03	-0.45	1.29
-0.14	-0.53	1.53
-0.16	-0.17	0.60
-0.15	0.20	0.51
-0.22	0.22	0.63
-0.19	0.21	0.95
-0.12	0.22	0.95
-0.16	0.22	0.95
-0.18	0.19	1.18
-0.36	0.23	0.79
-0.68	0.40	0.03
-1.03	0.43	0.40
-0.87	0.44	0.05
-0.92	0.45	0.07
-0.93	0.46	-0.02
-0.54	0.36	0.08
-0.45	0.13	1.09
-0.13	0.14	0.98
0.08	0.17	1.03
-0.00	0.17	0.94
0.01	0.16	1.07
-0.02	0.11	1.18
0.05	0.15	1.17
-0.11	0.33	0.73
-0.10	0.64	0.65
-0.01	0.72	0.54
-0.03	0.73	0.70
-0.02	0.78	0.53
-0.00	0.84	0.68
-0.05	0.90	0.56
0.01	0.86	0.14
-0.21	0.29	0.61
0.23	-0.02	1.35
0.19	0.03	0.99
0.05	0.14	1.18
0.04	0.15	1.14
0.04	0.17	0.52
-0.05	0.18	-0.11
-0.33	-0.16	1.06
0.47	-1.55	6.22
-0.52	-2.22	2.88
-1.16	-2.43	-2.34
-0.54	-1.55	-4.52
-1.52	-1.43	0.10
-0.44	-0.35	6.09
-0.19	0.55	1.56
-0.01	0.08	0.46
0.06	-0.02	0.77
-0.03	0.11	1.04
-0.10	0.22	0.99
-0.02	0.26	1.00
-0.03	0.23	0.98
-0.02	0.21	1.01
-0.03	0.22	0.94
-0.04	0.23	0.94
-0.04	0.24	0.96
-0.04	0.24	0.95
-0.06	0.24	0.96
-0.04	0.21	0.96
